C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla y León,Palencia,Piso,Plaza Pintor Caneja,123,4,279900
Castilla y León,Palencia,Piso,Paseo del Otero 1,143,4,77000
Castilla y León,Palencia,Piso,Avenida Reyes Catolicos 7,94,3,99900
Castilla y León,Palencia,Piso,Calle Juan Ramon Jimenez 3,149,4,40000
Castilla y León,Palencia,Piso,Avenida Campos Goticos 61,98,3,135000
Castilla y León,Palencia,Piso,Eras del Bosque - S Juanillo,101,3,169000
Castilla y León,Palencia,Atico,C Mayor Principal 80,108,3,307000
Castilla y León,Palencia,Chalet,Calle Montserrat 9,109,3,65000
Castilla y León,Palencia,Piso,Calle Antonio Maura 11,154,4,189000
Castilla y León,Palencia,Chalet,Plaza Dorotea Santos s/n,140,4,270000
Castilla y León,Palencia,Chalet,Carretera Palencia-Villada s/n,160,4,240000
Castilla y León,Palencia,Chalet,Calle la Ojeda 4,97,3,169900
Castilla y León,Palencia,Piso,Avenida de Asturias 31,106,3,67000
Castilla y León,Palencia,Piso,Calle Eras del Bosque 9,97,3,65000
Castilla y León,Palencia,Chalet,Calle Francia 30,114,3,165000
Castilla y León,Palencia,Piso,Calle Juan Ramon Jimenez 68,87,3,45000
Castilla y León,Palencia,Piso,Calle Ines Moro 1,77,2,110000
Castilla y León,Palencia,Piso,Avenida Campos Goticos s/n,107,3,70000
Castilla y León,Palencia,Piso,Plaza de la Constitucion s/n,152,4,125000
Castilla y León,Palencia,Piso,Calle Marques de Albaida 1,103,3,175000
Castilla y León,Palencia,Piso,Avenida Cuba 30,99,3,192000
Castilla y León,Palencia,Atico,Travesia Alfareros,82,2,56900
Castilla y León,Palencia,Piso,Travesia Alfareros,50,1,46900
Castilla y León,Palencia,Piso,Avenida Cuba 30,86,3,189900
Castilla y León,Palencia,Piso,Avenida Cuba 30,105,3,179900
Castilla y León,Palencia,Piso,Calle los Alamos 10,117,3,105000
Castilla y León,Palencia,Chalet,Rey Chindasvinto,15,3,169000
Castilla y León,Palencia,Piso,Calle las Acacias 17,76,2,45000
Castilla y León,Palencia,Piso,Calle Francisco Reinoso 4,73,2,49000
Castilla y León,Palencia,Chalet,Carretera Autilla 18,27000,4,289900
Castilla y León,Palencia,Piso,Calle Mayor Principal 79,82,3,229000
Castilla y León,Palencia,Piso,Gil de Fuentes 8,96,3,253000
Castilla y León,Palencia,Piso,Calle Sagrada Familia 4,101,3,52000
Castilla y León,Palencia,Chalet,Avenida Palencia,630,6,339000
Castilla y León,Palencia,Chalet,Calle Daoiz 3,40,1,36000
Castilla y León,Palencia,Chalet,Calle San Miguel 25,66,2,15000
Castilla y León,Palencia,Piso,Calle del Tomillo 21,75,2,51000
Castilla y León,Palencia,Piso,Calle Menendez Pidal,100,3,129000
Castilla y León,Palencia,Piso,Avenida Valladolid 20,94,3,226000
Castilla y León,Palencia,Piso,Avenida Santander 23,89,3,162000
Castilla y León,Palencia,Piso,Calle Conchi Paredes 1,61,2,112400
Castilla y León,Palencia,Chalet,Calle Menendez Pelayo s/n,200,5,65000
Castilla y León,Palencia,Chalet,Calle Clara Campoamor,108,3,85500
Castilla y León,Palencia,Piso,Avenida Campos Goticos,91,3,70000
Castilla y León,Palencia,Piso,Encinas,125,4,145000
Castilla y León,Palencia,Piso,Centro,88,3,273000
Castilla y León,Palencia,Chalet,Calle Nueva,590,5,269000
Castilla y León,Palencia,Chalet,Prados,490,4,270000
Castilla y León,Palencia,Piso,sagrada familia,126,4,48000
Castilla y León,Palencia,Piso,Plaza Dona Ines de Osorio 2,117,3,180000
Castilla y León,Palencia,Chalet,Autilla del Pino,247,6,400000
Castilla y León,Palencia,Piso,Calle Jacobo Romero,197,5,199000
Castilla y León,Palencia,Piso,Avenida de la Estacion,86,3,69000
Castilla y León,Palencia,Piso,Calle General San Martin 14,112,3,126116
Castilla y León,Palencia,Piso,Avenida de Madrid,75,3,70000
Castilla y León,Palencia,Piso,Calle General San Martin 14,91,3,137644
Castilla y León,Palencia,Chalet,Urbanizacion el Tiento,98,3,160000
Castilla y León,Palencia,Piso,Calle General San Martin 14,76,2,119262
Castilla y León,Palencia,Piso,Calle la Herradura,92,3,85000
Castilla y León,Palencia,Piso,Calle becerro de bengoa,146,4,225000
Castilla y León,Palencia,Duplex,Calle mayor principal,166,3,337000
Castilla y León,Palencia,Chalet,Conde de Fuentes,700,4,240000
Castilla y León,Palencia,Chalet,Urbanizacion Ciudad del Golf,132,4,240000
Castilla y León,Palencia,Piso,Av Valladolid,150,4,149000
Castilla y León,Palencia,Piso,Menendez Pidal,114,3,65000
Castilla y León,Palencia,Piso,castilla y leon,90,3,39900
Castilla y León,Palencia,Chalet,Calle Anastasia Santamaria,109,3,159900
Castilla y León,Palencia,Chalet,Calle Jeronimo Arroyo,147,4,219900
Castilla y León,Palencia,Chalet,Calle la Nava s/n,85,3,189000
Castilla y León,Palencia,Piso,Calle Casas Hogar Segunda,88,3,54900
Castilla y León,Palencia,Piso,San Lazaro,183,5,299900
Castilla y León,Palencia,Piso,El Carmen - Fabrica de Armas,94,3,129000
Castilla y León,Palencia,Piso,Calle Conchi Paredes 1,83,3,143945
Castilla y León,Palencia,Piso,Calle Menendez Pelayo 7,90,3,269500
Castilla y León,Palencia,Piso,Menendez Pelayo 7,93,3,277500
Castilla y León,Palencia,Piso,Calle Conchi Paredes 1,90,3,152900
Castilla y León,Palencia,Piso,Calle Patio de Castano,150,4,415000
Castilla y León,Palencia,Chalet,Calle la Flor,97,3,57000
Castilla y León,Palencia,Piso,Calle Canonigo San Martin 7,98,3,174000
Castilla y León,Palencia,Chalet,Calle la Flor,99,3,57000
Castilla y León,Palencia,Chalet,Villamuriel de Cerrato,149,4,200000
Castilla y León,Palencia,Chalet,El Cristo - Tejera,145,4,212600
Castilla y León,Palencia,Piso,Centro,133,4,265000
Castilla y León,Palencia,Chalet,El Carmen - Fabrica de Armas,106,3,314000
Castilla y León,Palencia,Piso,Calle Torres Quevedo,76,2,79000
Castilla y León,Palencia,Piso,Avenida de los Derechos Humanos 14,91,3,150000
Castilla y León,Palencia,Chalet,La Vina y el Majuelo,196,5,109158
Castilla y León,Palencia,Piso,979240095,475,145000,Hospital - Carrechiquilla
Castilla y León,Palencia,Piso,Centro,91,3,242000
Castilla y León,Palencia,Piso,El Carmen - Fabrica de Armas,61,2,94500
Castilla y León,Palencia,Chalet,Villalobon,780,4,355000
Castilla y León,Palencia,Piso,Centro,169,5,189300
Castilla y León,Palencia,Piso,Centro,69,2,129000
Castilla y León,Palencia,Estudio,Centro,43,0,54000
Castilla y León,Palencia,Piso,Sector 8,120,4,225300
Castilla y León,Palencia,Piso,Sector 8,70,2,146850
Castilla y León,Palencia,Piso,Sector 8,100,3,184500
Castilla y León,Palencia,Piso,Hospital - Carrechiquilla,108,3,159000
Castilla y León,Palencia,Piso,Tercer Barrio,55,1,97000
Castilla y León,Palencia,Piso,Centro,105,3,110000
Castilla y León,Palencia,Piso,Pan y Guindas,112,3,63000
Castilla y León,Palencia,Piso,Hospital - Carrechiquilla,102,3,69000
Castilla y León,Palencia,Piso,Centro,193,5,242900
Castilla y León,Palencia,Piso,Centro,94,3,135000
Castilla y León,Palencia,Piso,Centro,120,4,171000
Castilla y León,Palencia,Piso,979240095,542,159900,Hospital - Carrechiquilla
Castilla y León,Palencia,Piso,San Antonio,91,3,149000
Castilla y León,Palencia,Piso,Cardenal Cisneros,133,4,83000
Castilla y León,Palencia,Piso,Calle Blas de Otero,99,3,84000
Castilla y León,Palencia,Chalet,Magaz,95,3,190000
Castilla y León,Palencia,Piso,Centro,116,3,299000
Castilla y León,Palencia,Piso,Avenida Derechos Humanos,71,2,106000
Castilla y León,Palencia,Piso,Villamuriel de Cerrato,84,3,79000
Castilla y León,Palencia,Piso,El Carmen - Fabrica de Armas,102,3,61000
Castilla y León,Palencia,Piso,Centro,154,4,90000
Castilla y León,Palencia,Piso,Tercer Barrio,95,3,109000
Castilla y León,Palencia,Piso,Eras del Bosque - S Juanillo,95,3,49500
Castilla y León,Palencia,Piso,Centro,87,3,180000
Castilla y León,Palencia,Piso,San Antonio,118,3,99000
Castilla y León,Palencia,Piso,Eras del Bosque - S Juanillo,100,3,49500
Castilla y León,Palencia,Piso,San Antonio,114,3,99000
Castilla y León,Palencia,Piso,Eras del Bosque - S Juanillo,68,2,54900
Castilla y León,Palencia,Piso,Hospital - Carrechiquilla,65,2,79000
Castilla y León,Palencia,Piso,El Cristo - Tejera,58,1,66000
Castilla y León,Palencia,Piso,Centro,52,1,74000
Castilla y León,Palencia,Piso,Villalobon,100,3,79500
Castilla y León,Palencia,Piso,San Antonio,80,3,54500
Castilla y León,Palencia,Piso,Cardenal Cisneros,96,3,95000
Castilla y León,Palencia,Piso,El Carmen - Fabrica de Armas,60,2,85000
Castilla y León,Palencia,Chalet,Venta de Banos,100,3,85500
Castilla y León,Palencia,Piso,El Carmen - Fabrica de Armas,75,3,105000
Castilla y León,Palencia,Piso,Paseo del Salon 9,73,2,260000
Castilla y León,Palencia,Piso,Centro,83,3,130000
Castilla y León,Palencia,Piso,Paseo San Jose Obrero,155,4,184000
Castilla y León,Palencia,Piso,Calle Jardines,148,4,159900
Castilla y León,Palencia,Atico,Calle Miravalles,70,2,157000
Castilla y León,Palencia,Chalet,P-900,79,5,359000
Castilla y León,Palencia,Casa Rural,LA FINCA s/n,14000,32,429900
Castilla y León,Palencia,Piso,Calle Primera Universidad de Espana,102,3,89900
Castilla y León,Palencia,Piso,Grijota Golf 12,111,3,95000
Castilla y León,Palencia,Piso,Plaza de San Lazaro 4,105,3,235000
Castilla y León,Palencia,Piso,Calle Manflorido,167,5,120000
Castilla y León,Palencia,Chalet,San Marcos,103,3,119000
Castilla y León,Palencia,Chalet,Calle Miguel de Cervantes 1,135,4,136000
Castilla y León,Palencia,Chalet,Camino Collantes,4500,7,621000
Castilla y León,Palencia,Piso,Paseo del Salon 23,113,3,435000
Castilla y León,Palencia,Piso,Fabrica Nacional,88,3,132000
Castilla y León,Palencia,Piso,Plaza Cervantes,117,3,99000
Castilla y León,Palencia,Piso,Republica Argentina,175,5,440000
Castilla y León,Palencia,Piso,Calle Maria de Padilla,91,3,149000
Castilla y León,Palencia,Piso,Calle Maria de Padilla,5,3,155000
Castilla y León,Palencia,Piso,Calle LOS ROBLES,64,2,129000
Castilla y León,Palencia,Chalet,Llanos de la Verdeguera 5,252,3,179990
Castilla y León,Palencia,Piso,Avenida Valladolid,104,3,120000
Castilla y León,Palencia,Piso,Calle los Trigales,153,4,135000
Castilla y León,Palencia,Piso,Calle Don Miro,142,4,240000
Castilla y León,Palencia,Chalet,CL/SANTA EULALIA 19 19,230,4,121990
Castilla y León,Palencia,Casa Rural,Plaza Mayor 5,614,6,250000
Castilla y León,Palencia,Piso,Avenida Modesto Lafuente,134,4,254900
Castilla y León,Palencia,Piso,Calle Virgen de la Esperanza,153,4,115000
Castilla y León,Palencia,Casa Rural,Calle Arija Merino 3,216,7,93000
Castilla y León,Palencia,Casa Rural,Rua 15,387,6,129990
Castilla y León,Palencia,Chalet,Calle San Antonio Puentetoma 7,1000,4,235000
Castilla y León,Palencia,Piso,VALLADOLID,158,4,158000
Castilla y León,Palencia,Piso,Calle Mayor Antigua,78,2,150000
Castilla y León,Palencia,Piso,Centro,115,3,198000
Castilla y León,Palencia,Piso,Calle Burgos,76,2,170000
Castilla y León,Palencia,Piso,Calle Ferrocarril,89,3,159900
Castilla y León,Palencia,Piso,Avenida Buenos Aires,89,4,130000
Castilla y León,Palencia,Piso,Paseo DE LOS FRAILES,108,3,138000
Castilla y León,Palencia,Piso,Calle Mayor Antigua,85,3,70000
Castilla y León,Palencia,Piso,Camino de los Hoyos,112,3,149000
Castilla y León,Palencia,Piso,Avenida Vinalta 5,97,3,189000
Castilla y León,Palencia,Piso,Calle Pintor Oliva,114,3,149000
Castilla y León,Palencia,Chalet,Calle Real Vvag 14,405,6,340000
Castilla y León,Palencia,Piso,El Carmen - Fabrica de Armas,44,1,75000
Castilla y León,Palencia,Piso,Avenida Cardenal Cisneros,104,3,95000
Castilla y León,Palencia,Piso,Calle Juan Bravo 5,104,3,102999
Castilla y León,Palencia,Piso,Avenida Manuel Rivera,59,1,100000
Castilla y León,Palencia,Piso,LOS ALAMOS,133,4,125000
Castilla y León,Palencia,Piso,Ave Maria,119,3,157500
Castilla y León,Palencia,Piso,Calle Valentin Calderon,57,1,65000
Castilla y León,Palencia,Piso,Calle Valentin Calderon,89,3,135000
Castilla y León,Palencia,Chalet,Calle Pedro Monedero 31,20000,5,65000
Castilla y León,Palencia,Piso,Avenida Modesto Lafuente,159,4,198000
Castilla y León,Palencia,Piso,Avenida Cardenal Cisneros,120,3,128000
Castilla y León,Palencia,Chalet,Calle Fabrica Nacional,3000,5,298000
Castilla y León,Palencia,Piso,Calle Miguel de Unamuno,65,2,75000
Castilla y León,Palencia,Piso,Tercer Barrio,134,4,129000
Castilla y León,Palencia,Piso,979240095,545,197000,Cardenal Cisneros
Castilla y León,Palencia,Piso,Hospital - Carrechiquilla,152,4,119900
Castilla y León,Palencia,Piso,Calle Cuartel de San Fernando,120,3,75000
Castilla y León,Palencia,Piso,San Antonio,24,2,157000
Castilla y León,Palencia,Piso,Ave Maria,108,3,59900
Castilla y León,Palencia,Casa Rural,Calle Iglesia C Vl 11,200,4,90000
Castilla y León,Palencia,Piso,El Cristo - Tejera,97,3,115000
Castilla y León,Palencia,Piso,Ave Maria,81,3,145000
Castilla y León,Palencia,Piso,Hospital - Carrechiquilla,105,3,70000
Castilla y León,Palencia,Piso,Calle Maria de Padilla,103,3,149000
Castilla y León,Palencia,Piso,Centro,70,3,114000
Castilla y León,Palencia,Piso,Hospital - Carrechiquilla,108,3,70000
Castilla y León,Palencia,Piso,Ave Maria,120,4,240000
Castilla y León,Palencia,Chalet,Paseo de la Huerta de Guadian 2,83,3,72000
Castilla y León,Palencia,Piso,Calle Tello Tellez de Meneses,109,3,160000
Castilla y León,Palencia,Piso,Calle Valentin Calderon,46,1,54000
Castilla y León,Palencia,Piso,Avenida Modesto Lafuente,126,3,156000
Castilla y León,Palencia,Piso,Calle Casas Hogar Segunda 61,94,3,53500
Castilla y León,Palencia,Casa Rural,Calle del Rio 4,147,4,85000
Castilla y León,Palencia,Atico,Calle Coulounieix Chamiers 13 -9,91,3,85000
Castilla y León,Palencia,Piso,Calle Pintor Oliva,116,3,149000
Castilla y León,Palencia,Piso,Allende el Rio,67,2,90000
Castilla y León,Palencia,Piso,Ave Maria,83,3,75000
Castilla y León,Palencia,Casa Rural,Allende el Rio,10000,3,190000
Castilla y León,Palencia,Piso,San Antonio,85,2,136000
Castilla y León,Palencia,Piso,Hospital - Carrechiquilla,79,3,155000
Castilla y León,Palencia,Piso,El Carmen - Fabrica de Armas,80,3,163000
Castilla y León,Palencia,Piso,Cardenal Cisneros,110,4,157000
Castilla y León,Palencia,Piso,Avenida Campos Goticos,104,3,134900
Castilla y León,Palencia,Piso,Calle Don Pelayo,120,4,105000
Castilla y León,Palencia,Piso,Calle Santiago,108,3,90000
Castilla y León,Palencia,Piso,Calle Mayor Antigua,159,4,99000
Castilla y León,Palencia,Chalet,Paseo Padre Faustino Calvo 16,325,10,245000
Castilla y León,Palencia,Chalet,Calle Damas 10,20000,1,32000
Castilla y León,Palencia,Piso,Plaza Instituto Viejo,118,3,95000
Castilla y León,Palencia,Piso,Avenida Campos Goticos,108,3,119500
Castilla y León,Palencia,Piso,Avenida Derechos Humanos,101,3,40000
Castilla y León,Palencia,Chalet,Villalaco,100,5,249000
Castilla y León,Palencia,Chalet,Branosera,153,4,70000
Castilla y León,Palencia,Casa Rural,Calle Villarramiro 5,150,4,70000
Castilla y León,Palencia,Chalet,Avenida Burgos 21,750,9,500000
Castilla y León,Palencia,Piso,Calle Branosera,100,3,179900
Castilla y León,Palencia,Piso,Avenida Brasilia,81,3,99900
Castilla y León,Palencia,Casa Rural,Santa Cruz 27,191,5,350000
Castilla y León,Palencia,Chalet,N-611 1,43812,3,18000
Castilla y León,Palencia,Piso,Calle Barredo Viejo,98,3,59900
Castilla y León,Palencia,Piso,Calle los Trigales,130,4,129900
Castilla y León,Palencia,Piso,Calle Managua,119,3,98900
Castilla y León,Palencia,Piso,Calle Primera Universidad de Espana,116,3,134900
Castilla y León,Palencia,Piso,Calle San Juan de Dios,118,3,168000
Castilla y León,Palencia,Casa Rural,Calle Francesa 94,137,3,44900
Castilla y León,Palencia,Piso,Centro,120,4,245000
Castilla y León,Palencia,Chalet,Urbanizacion Mirador Vega 16,504,3,129990
Castilla y León,Palencia,Piso,Calle el Valle s/n,23,3,93500
Castilla y León,Palencia,Chalet,Calle Carretas Vidv 4,158,4,250000
Castilla y León,Palencia,Chalet,Juan Gerra 50,180,5,47000
Castilla y León,Palencia,Piso,Calle Mayor Principal 17,1220,3,430000
Castilla y León,Palencia,Chalet,Calle del Posito 4,65,2,147000
Castilla y León,Palencia,Piso,Calle Tello Tellez de Meneses,138,4,98000
Castilla y León,Palencia,Piso,Diseminado Diseminados,36,3,80000
Castilla y León,Palencia,Duplex,Calle Becerro de Bengoa,115,3,274000
Castilla y León,Palencia,Casa Rural,Las Eras 6,520,6,74000
Castilla y León,Palencia,Chalet,Plaza Robl,148,3,44000
Castilla y León,Palencia,Piso,Calle el Salero,132,4,149500
Castilla y León,Palencia,Piso,Calle de la Mujer Palentina 5,104,3,134000
Castilla y León,Palencia,Piso,Calle Barredo Viejo,115,3,59900
Castilla y León,Palencia,Chalet,Avenida de Palencia,19,4,199000
Castilla y León,Palencia,Piso,Calle los Soldados,81,3,120000
Castilla y León,Palencia,Piso,Calle Navarra,160,4,118000
Castilla y León,Palencia,Piso,Plaza Europa,106,3,129000
Castilla y León,Palencia,Piso,Calle Mayor Principal,163,1,180000
Castilla y León,Palencia,Piso,Pina Blasco 15,104,3,84990
Castilla y León,Palencia,Casa Rural,Calle fuente 22,245,5,35000
Castilla y León,Palencia,Casa Rural,Calle Matadero Viejo 12 00,356,5,75000
Castilla y León,Palencia,Piso,Avenida Cardenal Cisneros,167,5,270000
Castilla y León,Palencia,Piso,Paseo Padre Faustino Calvo Palencia,140,4,540000
Castilla y León,Palencia,Casa Rural,Calle Miraflores 6,302,7,67900
Castilla y León,Palencia,Chalet,Salinas de Pisuerga,796,6,275000
Castilla y León,Palencia,Casa Rural,Calle mayor 28,268,4,99000
Castilla y León,Palencia,Chalet,La Union 14,75,6,78000
Castilla y León,Palencia,Casa Rural,Calle Las Delicias 5,94,4,29990
Castilla y León,Palencia,Casa Rural,DELICIAS 7,167,3,29990
Castilla y León,Palencia,Piso,Calle Obispo Nicolas Castellanos,165,5,239000
Castilla y León,Palencia,Piso,Calle Managua,87,3,98000
Castilla y León,Palencia,Piso,Avenida Cuba 30,114,3,194000
Castilla y León,Palencia,Piso,Travesia Sagrada Familia s/n,96,3,55000
Castilla y León,Palencia,Chalet,real 32,366,4,79000
Castilla y León,Palencia,Piso,Calle Cervera,113,3,96000
Castilla y León,Palencia,Chalet,Calle Real 1,140,4,250000
Castilla y León,Palencia,Piso,Avenida Cuba 30,114,3,194900
Castilla y León,Palencia,Piso,Calle Santo Domingo de Guzman s/n,50,4,99000
Castilla y León,Palencia,Piso,Avenida Modesto Lafuente s/n,150,3,115000
Castilla y León,Palencia,Casa Rural,Calle Abilio Calderon,148,4,55000
Castilla y León,Palencia,Piso,Calle Tello Tellez de Meneses,118,3,115000
Castilla y León,Palencia,Piso,Calle Mayor Antigua,136,4,89000
Castilla y León,Palencia,Casa Rural,Calle Flores,122,4,39000
Castilla y León,Palencia,Piso,Avenida Reyes Catolicos,97,3,99900
Castilla y León,Palencia,Piso,Calle Becerro de Bengoa 14,177,5,320000
Castilla y León,Palencia,Chalet,Avenida Salinas 14,562,2,168000
Castilla y León,Palencia,Casa Rural,Mayor,790,8,390000
Castilla y León,Palencia,Chalet,Calle Barrio Bolaredo 26,132,4,29000
Castilla y León,Palencia,Casa Rural,Calle del General Mola,230,6,98000
Castilla y León,Palencia,Casa Rural,Carretera Carrion -Gozon,473,7,85000
Castilla y León,Palencia,Piso,Centro,146,4,169900
Castilla y León,Palencia,Piso,Calle Infanta Catalina,62,2,60000
Castilla y León,Palencia,Piso,Calle Don Pelayo,115,3,98000
Castilla y León,Palencia,Piso,Avenida Cuba 30,86,3,206500
Castilla y León,Palencia,Piso,Calle Gran Capitan,67,2,123000
Castilla y León,Palencia,Casa Rural,C Moral,215,6,58000
Castilla y León,Palencia,Chalet,Calle Mercedes Junco Calderon,38,5,449000
Castilla y León,Palencia,Piso,Av Cardenal Cisneros,85,3,90000
Castilla y León,Palencia,Piso,Plaza Munoz Bernal,27,3,99900
Castilla y León,Palencia,Piso,Dr Fleming,102,3,152000
Castilla y León,Palencia,Piso,Calle Torres Quevedo,67,2,64900
Castilla y León,Palencia,Piso,Calle de la Vera Cruz,98,3,109900
Castilla y León,Palencia,Piso,Avenida de Asturias,85,3,187000
Castilla y León,Palencia,Chalet,Calle Castellares 6,600,7,355000
Castilla y León,Palencia,Piso,Avenida Santander,94,3,159000
Castilla y León,Palencia,Piso,Avenida de Casado del Alisal,198,5,149900
Castilla y León,Palencia,Piso,Plaza La Puebla 14,28,4,218000
Castilla y León,Palencia,Piso,Calle Obispo Nicolas Castellanos,194,5,220000
Castilla y León,Palencia,Piso,Avenida de Casado del Alisal 47,120,3,129900
Castilla y León,Palencia,Piso,Calle el valle s/n,105,3,93500
Castilla y León,Palencia,Chalet,Calle Mayor,50,4,145000
Castilla y León,Palencia,Piso,Calle Jose Zorrilla,30,3,290000
Castilla y León,Palencia,Piso,Calle el valle 5,63,2,83500
Castilla y León,Palencia,Piso,Maldonado,100,3,59900
Castilla y León,Palencia,Duplex,Calle Mayor Principal,94,3,337000
Castilla y León,Palencia,Piso,Calle MENENDEZ PELAYO 4,98,3,152000
Castilla y León,Palencia,Piso,Avenida Simon Nieto,69,2,79000
Castilla y León,Palencia,Piso,Calle MENENDEZ PELAYO 4,94,3,152000
Castilla y León,Palencia,Piso,Avenida Simon Nieto,69,2,79000
Castilla y León,Palencia,Piso,Calle Rizarzuela,124,4,102739
Castilla y León,Palencia,Piso,Centro,146,4,150000
Castilla y León,Palencia,Piso,Calle mayor principal 17,50,1,155000
Castilla y León,Palencia,Piso,Calle Teofilo Ortega 9,101,3,207000
Castilla y León,Palencia,Piso,Centro,75,3,90000
Castilla y León,Palencia,Piso,Calle Grupo Ciudad de Duenas,120,3,58000
Castilla y León,Palencia,Chalet,Carretera Villamuriel 2 kilometro,32095,3,290000
Castilla y León,Palencia,Piso,Calle General San Martin,92,3,137923
Castilla y León,Palencia,Piso,Calle General San Martin,66,2,119272
Castilla y León,Palencia,Chalet,Calle Carlos ruiz 31,95,3,149500
Castilla y León,Palencia,Piso,Calle Navas de Tolosa,84,3,39900
Castilla y León,Palencia,Piso,Avenida Modesto Lafuente 1,118,3,289000
Castilla y León,Palencia,Piso,Corral de la Cerera,82,3,164000
Castilla y León,Palencia,Piso,Avenida Cardenal Cisneros,175,5,275000
Castilla y León,Palencia,Casa Rural,Arrabal,71,4,30000
Castilla y León,Palencia,Piso,Calle Don Pelayo,86,3,135000
Castilla y León,Palencia,Piso,Paseo del Soto 11,78,2,48000
Castilla y León,Palencia,Piso,Calle Sinesio Delgado,101,3,70000
Castilla y León,Palencia,Piso,Calle Mayor Principal,50,5,350000
Castilla y León,Palencia,Piso,Ciudad Jardin Virgen del Milagro,97,3,70000
Castilla y León,Palencia,Casa Rural,Plaza mayor 5,95,3,89990
Castilla y León,Palencia,Piso,Av Brasilia,127,4,135000
Castilla y León,Palencia,Piso,Menendez Pidal,115,3,69900
Castilla y León,Palencia,Piso,Calle Obispo Nicolas Castellanos 1,175,5,239000
Castilla y León,Palencia,Chalet,Calle Isaac peral,15,4,336000
Castilla y León,Palencia,Piso,Calle Batalla del Tamaron 11,10,2,82000
Castilla y León,Palencia,Casa Rural,Calle Mayor 6,225,0,6990
Castilla y León,Palencia,Piso,Calle Rio Valdavia,61,2,150000
Castilla y León,Palencia,Piso,Camino de los Hoyos,82,3,149000
Castilla y León,Palencia,Piso,Juan Ramon Jimenez,80,2,124000
Castilla y León,Palencia,Piso,Calle Obispo Fonseca 31,115,3,139000
Castilla y León,Palencia,Chalet,Calle Castellares,639,10,355000
Castilla y León,Palencia,Estudio,Allende el Rio,21,0,110000
Castilla y León,Palencia,Chalet,Avenida Asturias,250,3,84000
Castilla y León,Palencia,Piso,Calle Balmes s/n,140,4,89000
Castilla y León,Palencia,Piso,Calle Don Miro 1,134,4,240000
Castilla y León,Palencia,Chalet,Jose Gomez Briz 38,136,4,114000
Castilla y León,Palencia,Piso,Calle Antonio Alamo Salazar 12,75,2,145000
