Provincia,Id del anuncio,Título,Tipo de inmueble,Descripción,Teléfono,Dirección,Precio,Habitaciones
Islas Baleares,100098283,Piso en Calle Gran Via,Piso,"¡OPORTUNIDAD! Fabuloso segundo piso con ascensor en frente a Puerto Adriano. Excelente oportunidad de inversión.  Recién reformado y actualizado todo el sistema eléctrico, tuberías, ante nas e insonorizado.  Consta de 80m2 con un amplio balcón. Las vistas laterales son al mar, dispone de un gran salón comedor con salida a la terraza totalmente acristalada. Climalit en toda la casa.  La cocina independiente con gran capacidad de almacenaje reformada y con placas de inducción.  Dispone de dos dormitorios dobles con armarios empotrados y bomba de aire frio y calor en todas habitaciones.  El baño es completo con un gran plato de ducha.  Es una comunidad cerrada muy tranquila y silenciosa con zonas ajardinadas. Tiene una plaza de garaje privada en el recinto de la comunidad.  No dejes pasar la oportunidad, ponte en contacto y concreta una visita.",871240176,Calle Gran Via,251000,2
Islas Baleares,96208300,Casa independiente,Chalet,"Preciosa casa situada en un gran solar de 2.880 m2 en venta en el codiciado barrio de Palma, Son Vida. La villa de estilo mediterráneo de 697 m2 se distribuye en 2 plantas y ofrece 4 dormitorios, 4 baños, un salón/comedor muy amplio, una cocina totalmente equipada y un apartamento de invitados en la planta baja. La zona exterior, de gran belleza, incluye un exuberante jardín, una piscina infinita, un garaje independiente y una amplia zona de aparcamiento. La propiedad ha sido perfectamente mantenida y disfruta de vistas al mar desde la segunda planta. Otras características: Aire acondicionado reversible y oculto, sauna, zona de almacenamiento, ducha exterior y mucho más.. . No dude en ponerse en contacto con nosotros para obtener más información sobre esta impresionante propiedad en venta en Son Vida.",871240669,barrio Son Vida,3690000,4
Islas Baleares,101170597,Casa independiente en Diseminado p 21 n s Jesus,Chalet,"Best le presenta Villa Menina - una casa recién reformada situada en la codiciada zona de Nuestra Señora de Jesús, Ibiza.  Esta fabulosa propiedad se extiende a través de 2.000 metros cuadrados y cuenta con lujosas comodidades. Construida en 1980 con licencia.  La casa cuenta con una impresionante piscina-Safareig acabada en microcemento, completa con accesorios de spa y un sistema de desbordamiento. Tiene terrazas cubiertas y descubiertas. La propiedad también cuenta con una preciosa zona de huerto con varios árboles frutales y olivos, un cobertizo de aproximadamente 40 metros cuadrados, una zona de petanca, una barbacoa y varias terrazas cubiertas y descubiertas. Además, hay una zona de aparcamiento para 4 coches, completa con una instalación de carga de coches eléctricos. La casa está dividida en tres zonas.  La planta baja cuenta con 3 dormitorios con baño en suite y un lavadero con lavadora y secadora.  En la entreplanta se encuentra el dormitorio principal con baño en suite y acceso privado a la terraza. En esta planta también se encuentra la cocina totalmente equipada, con zona de comedor y acceso independiente a la terraza de la propia cocina.  En la primera planta se encuentra el salón con chimenea y una gran mesa de comedor con amplios ventanales y acceso al porche con vistas a la piscina. La vivienda cuenta con acabados de alta calidad, como calefacción por suelo radiante, A/A en todas las habitaciones, carpintería de madera maciza, iluminación de diseño y suelos de microcemento. Cada detalle ha sido cuidadosamente considerado para proporcionar una experiencia de lujo. El precio son 3.2M + 10% de IVA.  No dude en ponerse en contacto con nosotros para obtener más información. Estaremos encantados de proporcionarle cualquier detalle adicional que necesite. Disponibilidad a acordar. La oferta está sujeta a cambios de precio o retirada. Los datos, incluidas las medidas, son orientativos, proporcionados por el vendedor u otro. A verificar por el comprador. Para comprobar las superficies, las circunstancias físicas y jurídicas del inmueble y de la transacción recomendamos acudir a un profesional competente independiente. "".""",871240753,Diseminado P 21 N S Jesus,3200000,4
Islas Baleares,100430208,Piso en Calle de la Fàbrica,Piso,"Planta baja en venta con jardín en Santa Catalina Esta propiedad se encuentra ubicada en una de las zonas más apreciadas por residentes europeos en la zona de Santa Catalina, una zona muy soleada cerca de la bahía y muy buena ubicación con el centro de Palma.   La propiedad tiene 170 m² de solar 90 m² de vivienda y 80 m² de jardín algo muy prioritario para los clientes que buscan propiedades en esta zona.   La casa tiene entrada a un pequeño hall, dos dormitorios dobles dos baños completos vestidor y el salón comedor, todo muy exterior.   Cocina americana que dan vista al jardín creando así una atmósfera muy agradable en la casa.   El jardín queda muy integrado con la vivienda. El pavimento es de parket. Dispones de aire frío-calor y una reforma de hace dos años. ¿Te imaginas vivir aquí?",871240727,Calle de la Fàbrica,945000,3
Islas Baleares,101407667,Piso en Calle de Saridakis,Piso,"¡Descubre tu nuevo hogar lleno de encanto! Este espacioso apartamento de 63 m2 te ofrece una oportunidad única de vivir en un entorno tranquilo y rodeado de comodidades. Ubicado en el primer piso de un edificio de 8 alturas con 2 ascensores y 2 parkings comunitarios, te aseguramos la comodidad y accesibilidad que buscas. Al ingresar, serás recibido por un acogedor salón-comedor, el corazón de la casa. Desde aquí, podrás disfrutar de la vista a la piscina a través de la terraza, que se convertirá en tu oasis privado para relajarte y disfrutar de momentos inolvidables. La vivienda cuenta con una habitación doble con armario empotrado, ubicada en el segundo nivel mediante unas escaleritas que le dan un toque único y especial. Podrás descansar plácidamente y disfrutar de un amplio espacio para guardar tus pertenencias. La pequeña cocina equipada te brindará todo lo necesario para desplegar tus habilidades culinarias y preparar deliciosas comidas. Además, el baño completo con bañera te invita a disfrutar de un merecido descanso en un ambiente tranquilo y relajante. Si necesitas espacio adicional, existe la posibilidad de crear una segunda habitación según tus preferencias y necesidades personales. Los suelos de gres, las puertas de madera y las ventanas de aluminio añaden un toque de elegancia a la vivienda. En el salón, los cristales dobles te proporcionarán aislamiento acústico y térmico, asegurando tu confort durante todo el año. La vivienda se encuentra en buen estado de conservación, aunque podrías realizar una pequeña actualización para adaptarla a tu estilo personal y agregarle aún más encanto. Además de las características internas, tendrás acceso a las fabulosas instalaciones comunitarias. Disfruta de dos piscinas comunitarias, una de ellas especialmente diseñada para niños, para que puedas refrescarte y disfrutar del buen clima. Además, contarás con amplias zonas verdes donde podrás relajarte, pasear o disfrutar de actividades al aire libre. No pierdas la oportunidad de convertir este apartamento en tu nuevo hogar. ¡Ven a visitarlo hoy mismo y descubre todo lo que tiene para ofrecerte! Los gastos de comunidad ascienden a 110€ al mes. Si deseas más información o concertar una visita, no dudes en contactarnos. ¡Estaremos encantados de ayudarte en todo el proceso para que encuentres tu nuevo hogar ideal!",871240641,Calle de Saridakis,225000,1
Islas Baleares,97973697,Piso en Calle de Versalles,Piso,"En edificio elegante de lujo situado en Porto Pi, gran piso en perfecto estado, totalmente exterior todas las dependencias y bordeado de terrazas con vistas al mar, la catedral y el puerto. esta elegante propiedad cuenta con gran salón-comedor  con salida a terraza con vistas panorámicas, cocina muy amplia con despensa, coladuría y habitación de servicio con aseo, cuatros dormitorios con armarios empotrados y salida a terrazas, dos de los cuales tiene baño en suite, el principal con vestidor, baños en suite con bañera hidromasage y ducha, otro baño completo. el equipamiento: suelos mármol, carpintería interior roble, exterior aluminio climalit, calefacción gas ciudad, aire acondicionado frio-calor, video portero, gimnasio, piscina gran tamaño comunitaria, 2 plazas de garaje en sótano, trastero. A destacar sus vistas, sus espacios amplios, su estado perfecto, sus terrazas bordeando el piso y la calidad de sus materiales.   Perfecta ubicación para acceder tanto al paseo marítimo y centro Palma como para acceder a la via cintura.      .",871240902,Calle de Versalles,1575000,5
Islas Baleares,102052108,Chalet,Chalet,"Esta increíble villa se encuentra en la zona más alta de la exclusiva urbanización Can Furnet, por lo que ofrece una ubicación privilegiada y vistas impresionantes. La villa cuenta con una superficie construida de 320 m² sobre una amplia parcela de 1050 m² y garantiza privacidad y espacio más que suficiente para disfrutar de la mejor experiencia ibicenca.  Desde todas las estancias de la casa, se puede contemplar una vista panorámica que abarca el mar, la isla de Formentera y el emblemático Dalt Vila, que aporta una sensación de tranquilidad y conexión con la belleza natural que lo rodea.  Al acceder a la vivienda, nos recibe una cocina de diseño de Bulthaup, que combina elegancia y funcionalidad. Desde allí, descendemos hacia la zona del comedor y un salón donde se encuentra una preciosa y original chimenea, además de la salida a una inmensa terraza. Esta terraza es un espacio ideal para disfrutar del aire libre y de las vistas y que nos permite acceder a una terraza en la azotea llena de posibilidades, donde podrá crear su propio oasis personalizado.  A través de una elegante escalera desde el salón, se accede a la zona de descanso en la que se encuentran los dormitorios. Aquí, se dispone un dormitorio con baño, vestidor y terraza privada, un dormitorio adicional y un baño completo, así como el dormitorio principal, también con un enorme y precioso baño con vistas y que cuenta con una zona que se puede destinar a vestidor, zona de estar o incluso convertirse en otro dormitorio.  Desde esta planta, podrá acceder directamente a la piscina infinita climatizada y a la zona de jardín, que crea un ambiente perfecto para relajarse y disfrutar del clima mediterráneo. Además, esta villa ofrece una encantadora casita de invitados que mantiene el carácter original de la casa, que resultaría perfecta para alojar huéspedes.  Esta casa se ha diseñado pensando en la comodidad y la calidad de vida y cuenta con suelo radiante, lo que la convierte en un hogar perfecto para vivir durante todo el año.  En resumen, esta casa en Can Furnet representa un impresionante hogar de lujo con vistas panorámicas, espacios amplios y elegantes y todas las comodidades necesarias para disfrutar de una vida inigualable en Ibiza.  Póngase en contacto para más información.",871240174,barrio Can Furnet,3400000,5
Islas Baleares,101209140,Chalet,Chalet,"Situada en lo más alto de Can Furnet, uno de los barrios más deseables y mejor ubicados de Eivissa, se encuentra esta fantástica villa de 311 m2 y 4 dormitorios con impresionantes vistas de Dalt Vila y la costa sur de la isla, así como de Formentera.  Al entrar en la parcela de 550 m2, se encontrará con unas vistas asombrosas de las ondulantes colinas verdes, el mar y el impresionante castillo y ciudad de Dalt Villa.  Al descender los escalones de la entrada se encuentra el primer solárium y la entrada a la casa.  El pasillo se abre a una fantástica sala de estar principal de planta abierta distribuida lateralmente que incluye un comedor, cocina de planta abierta con barra de desayuno, sala de TV, chimenea de leña abierta y sala de descanso.  Toda la fachada es de puertas correderas de vidrio de piso a techo que se abren a la inmensa terraza que bordea toda la propiedad con vistas espectaculares al mar a Dalt Vila, Jesús, Eivissa, Platja den Bossa, Las Salinas y Formentera. La terraza incluye una zona de estar cubierta y un comedor al aire libre. También hay un aseo y un lavadero en este nivel de la casa.  Subiendo las escaleras, encontrará un descansillo que conduce a dos dormitorios. La suite principal es muy espaciosa e incluye una sala de estar con chimenea, así como una gran terraza con áreas para descansar y sentarse. El baño en suite tiene una enorme bañera de hidromasaje en el borde de la ventana que ofrece las maravillosas vistas al mar, uno de los aspectos más destacados de esta propiedad.  El segundo dormitorio también se beneficia de su propia terraza y baño en suite.  Otros dos dormitorios con baños en suite se encuentran en la planta baja de la casa en un apartamento independiente con su propia cocina abierta, sala de estar y comedor y terraza con las mismas fabulosas vistas. Se puede acceder al apartamento desde la zona de la piscina o desde el otro lado de la casa, lo que le da una gran independencia.  La piscina infinita climatizada tiene un jacuzzi en una esquina. Hay terrazas para tomar el sol y una zona de barbacoa adyacente, así como un bar cubierto y una sala de estar, con su propia chimenea de leña abierta y discoteca al aire libre.  Debajo de la piscina y al otro lado de la casa hay dos encantadores jardines. La propiedad también se beneficia de una casa de sauna, un garaje cerrado, una gran instalación solar en el techo y varias áreas de almacenamiento amplias.  Es una propiedad impresionante con un gran potencial como vivienda principal o de vacaciones.  Póngase en contacto para más información.",871240174,barrio Can Furnet,3975000,4
Islas Baleares,101685623,Chalet,Chalet,"En la costa de Cala Moli, encontramos esta villa completamente renovada en una ubicación privilegiada y tranquila, a unos 150 metros de la costa. Consta de un total de 4 dormitorios y 4 baños y cumple con los más altos estándares de construcción de última generación. La vivienda está situada en una parcela de 2.442 m2 en la que se ubica la villa principal con torre, una casa de invitados independiente y varias terrazas amplias.  La vivienda está ubicada en una calle sin salida con poco tráfico y está completamente asegurada desde el exterior y, por lo tanto, no es visible desde la carretera. Esto garantiza la máxima seguridad, privacidad y tranquilidad.  La suave combinación entre la arquitectura y los materiales modernos con la estructura del edificio original y el encantador jardín sombreado antiguo detrás de la vivienda principal, le dan a esta vivienda un ambiente agradable y encantador.  Una hermosa piscina infinita te invita a disfrutar de las espectaculares vistas hacia Cala Tarida, mientras estás rodeado de hermosas áreas al aire libre para tomar el sol, sentarte y relajarte.",871240174,Cala Vedella - Cala Tarida - Cala Conta,3650000,4
Islas Baleares,99903561,Chalet,Chalet,"Esta fantástica villa disfruta de una ubicación perfecta a tan solo 5 minutos en coche de la ciudad de Ibiza, y ofrece espacio, lujo y privacidad en un entorno natural privilegiado. La vivienda dispone de licencia turística y atraerá, sin duda alguna, a visitantes que deseen pasar una estancia excepcional en la Isla Blanca.  La villa, con un elegante diseño contemporáneo y acabados impecables, se distribuye en tres plantas, todas con grandes extensiones de cristal y puertas correderas de suelo a techo que permiten disfrutar al máximo de las vistas al mar hasta Formentera y proporcionan abundante luz natural.  Esta sensación de espacio se ve potenciada por la generosa distribución de los espacios abiertos, que salta a la vista nada más llegar a la elegante zona de entrada, desde donde se vislumbra el amplio salón y la cocina, así como los preciosos jardines con piscina, enmarcados por los grandes ventanales.  El jardín es impresionante, y se presenta rodeado de vegetación exuberante y palmeras, con una piscina muy acogedora rodeada de terrazas, zonas de chill-out y una maravillosa zona de barbacoa.  Las terrazas permiten aprovechar el clima mediterráneo desde las zonas comunes y los dormitorios, con mucho espacio para comer al aire libre y toldos que se adaptan tanto a los amantes del sol como a los que buscan relajarse a la sombra.  Hay 2 dormitorios con baño privado en la planta baja, y 3 en la primera (uno de ellas con su propio salón) y un fantástico gimnasio abierto, dormitorio y espacio de estudio en el último piso con una espectacular terraza en la azotea y unas vistas increíbles. La vivienda también se beneficia de 2 casas de invitados, ambas con 2 dormitorios y un baño, que ofrecen privacidad y versatilidad a visitantes e invitados.  La iluminación sofisticada aporta un toque extra a la villa al ponerse el sol, y la tecnología adicional incluye un sistema de alarma con cámaras, riego automático, paneles solares, aire acondicionado central por zonas y calefacción por suelo radiante. También hay un garaje doble.",871240174,barrio Cap Martinet,6950000,9
