Provincia,descrip,Precio,Habitaciones
Asturias,Chalet,520000,4
Asturias,Piso,90000,3
Asturias,Piso,115000,2
Asturias,Piso,140000,3
Asturias,Chalet,485000,3
Asturias,Ático,134990,2
Asturias,Piso,200000,3
Asturias,Piso,139000,3
Asturias,Duplex,220000,3
Asturias,Duplex,265000,4
Asturias,Piso,169000,3
Asturias,Piso,570000,5
Asturias,Chalet,1095000,4
Asturias,Piso,185000,1
Asturias,Piso,275000,4
Asturias,Piso,430000,5
Asturias,Piso,89000,3
Asturias,Piso,435000,5
Asturias,Chalet,660000,5
Asturias,Piso,375000,4
Asturias,Piso,125000,3
Asturias,Piso,109000,2
Asturias,Piso,120000,3
Asturias,Piso,229000,2
Asturias,Piso,199000,3
Asturias,Piso,90000,2
Asturias,Piso,199000,3
Asturias,Piso,259900,3
Asturias,Piso,450000,5
Asturias,Piso,177000,2
Asturias,Piso,465000,5
Asturias,Piso,79000,2
Asturias,Piso,245000,3
Asturias,Piso,162000,3
Asturias,Chalet,480000,4
Asturias,Chalet,350000,3
Asturias,Piso,249000,2
Asturias,Piso,350000,4
Asturias,Chalet,267000,6
Asturias,Piso,230000,3
Asturias,Piso,410000,4
Asturias,Duplex,340000,4
Asturias,Piso,185000,3
Asturias,Piso,160000,3
Asturias,Chalet,65000,1
Asturias,Piso,135000,3
Asturias,Piso,106000,3
Asturias,Piso,190000,4
Asturias,Piso,180000,3
Asturias,Piso,92000,2
Asturias,Piso,435000,3
Asturias,Piso,95000,1
Asturias,Piso,150000,4
Asturias,Piso,860000,7
Asturias,Duplex,365000,4
Asturias,Piso,400000,4
Asturias,Piso,416000,4
Asturias,Piso,167000,3
Asturias,Duplex,154000,3
Asturias,Chalet,399000,7
Asturias,Piso,250000,5
Asturias,Chalet,125000,2
Asturias,Piso,595000,3
Asturias,Piso,180000,2
Asturias,Piso,108000,3
Asturias,Piso,138000,2
Asturias,Piso,199000,3
Asturias,Piso,158000,2
Asturias,Duplex,395000,3
Asturias,Piso,206000,4
Asturias,Piso,220000,3
Asturias,Piso,126900,3
Asturias,Piso,115000,3
Asturias,Piso,280000,5
Asturias,Piso,90000,1
Asturias,Duplex,130000,3
Asturias,Piso,105000,3
Asturias,Piso,156900,3
Asturias,Piso,85000,3
Asturias,Piso,260000,2
Asturias,Piso,650000,5
Asturias,Piso,148000,3
Asturias,Piso,159000,3
Asturias,Piso,105000,2
Asturias,Piso,225000,4
Asturias,Chalet,375000,3
Asturias,Piso,195000,4
Asturias,Piso,220000,3
Asturias,Chalet,374000,3
Asturias,Ático,240000,3
Asturias,Piso,139000,3
Asturias,Chalet,410000,2
Asturias,Piso,110000,2
Asturias,Ático,525000,4
Asturias,Piso,295000,3
Asturias,Piso,165000,2
Asturias,Chalet,425000,7
Asturias,Piso,135000,3
Asturias,Chalet,370000,3
Asturias,Piso,247000,3
Asturias,Piso,139000,2
Asturias,Piso,240000,3
Asturias,Piso,149999,3
Asturias,Piso,79900,2
Asturias,Piso,94900,3
Asturias,Piso,149900,3
Asturias,Piso,260000,4
Asturias,Piso,179000,3
Asturias,Piso,320000,3
Asturias,Piso,150000,3
Asturias,Piso,100000,2
Asturias,Piso,420000,3
Asturias,Piso,70000,1
Asturias,Piso,675000,10
Asturias,Piso,990000,6
Asturias,Piso,340000,3
Asturias,Piso,75000,2
Asturias,Piso,180000,2
Asturias,Piso,129000,1
Asturias,Piso,120000,2
Asturias,Duplex,164000,3
Asturias,Piso,169900,3
Asturias,Piso,155000,2
Asturias,Piso,250000,3
Asturias,Ático,165000,1
Asturias,Piso,165000,3
Asturias,Chalet,990000,4
Asturias,Piso,140000,3
Asturias,Piso,133000,3
Asturias,Piso,89000,3
Asturias,Piso,375000,4
Asturias,Piso,130000,2
Asturias,Piso,134000,2
Asturias,Chalet,3300000,10
Asturias,Piso,190000,1
Asturias,Piso,139000,2
Asturias,Chalet,990000,5
Asturias,Piso,119000,2
Asturias,Piso,132000,2
Asturias,Piso,140000,1
Asturias,Chalet,725000,5
Asturias,Piso,143000,3
Asturias,Ático,370000,3
Asturias,Chalet,1150000,5
Asturias,Duplex,114900,2
Asturias,Piso,380000,4
Asturias,Piso,88600,3
Asturias,Piso,390000,5
Asturias,Chalet,570000,5
Asturias,Piso,180000,4
Asturias,Piso,192000,2
Asturias,Ático,225000,3
Asturias,Piso,157000,2
Asturias,Chalet,400000,4
Asturias,Piso,130000,2
Asturias,Piso,225000,3
Asturias,Piso,170000,2
Asturias,Piso,120000,3
Asturias,Piso,155000,2
Asturias,Piso,225000,2
Asturias,Chalet,320000,3
Asturias,Piso,198000,3
Asturias,Piso,128000,2
Asturias,Chalet,399000,4
Asturias,Piso,169000,2
Asturias,Piso,135000,2
Asturias,Piso,134000,2
Asturias,Piso,179900,3
Asturias,Piso,135900,3
Asturias,Piso,168900,3
Asturias,Piso,149000,3
Asturias,Piso,155000,3
Asturias,Piso,550000,4
Asturias,Piso,418000,6
Asturias,Piso,109000,1
Asturias,Piso,118800,1
Asturias,Piso,148000,1
Asturias,Piso,135000,2
Asturias,Ático,450000,3
Asturias,Piso,187000,3
Asturias,Piso,149000,3
Asturias,Piso,249000,2
Asturias,Piso,149000,3
Asturias,Piso,190000,3
Asturias,Piso,149000,3
Asturias,Duplex,229000,3
Asturias,Piso,71900,1
Asturias,Estudio,95500,0
Asturias,Piso,183000,2
Asturias,Ático,725000,3
Asturias,Piso,250000,2
Asturias,Piso,180000,1
Asturias,Piso,250000,2
Asturias,Chalet,1349000,4
Asturias,Piso,190000,2
Asturias,Chalet,2100000,3
Asturias,Piso,335000,4
Asturias,Piso,199995,5
Asturias,Piso,219999,2
Asturias,Piso,118000,3
Asturias,Piso,84990,1
Asturias,Piso,139900,2
Asturias,Piso,288000,3
Asturias,Piso,99000,3
Asturias,Piso,120000,3
Asturias,Piso,109000,2
Asturias,Piso,199900,2
Asturias,Chalet,299900,3
Asturias,Piso,169900,2
Asturias,Chalet,749990,6
Asturias,Piso,530000,4
Asturias,Piso,220000,2
Asturias,Piso,152000,3
Asturias,Piso,119900,2
Asturias,Chalet,110000,2
Asturias,Piso,185000,3
Asturias,Piso,164000,2
Asturias,Piso,165000,3
Asturias,Chalet,495000,7
Asturias,Chalet,745000,5
Asturias,Piso,630000,4
Asturias,Ático,218000,3
Asturias,Piso,127000,1
Asturias,Chalet,420000,5
Asturias,Piso,185000,1
Asturias,Piso,128000,3
Asturias,Piso,165000,1
Asturias,Duplex,85000,2
Asturias,Chalet,690000,4
Asturias,Piso,210000,2
Asturias,Duplex,350000,4
Asturias,Chalet,650000,3
Asturias,Piso,185000,3
Asturias,Piso,85000,3
Asturias,Piso,170000,3
Asturias,Chalet,40000,3
Asturias,Piso,280000,4
Asturias,Piso,82500,1
Asturias,Chalet,575000,6
Asturias,Chalet,1200000,10
Asturias,Chalet,695000,5
Asturias,Piso,203000,3
Asturias,Piso,360000,4
Asturias,Piso,167000,2
Asturias,Piso,119000,2
Asturias,Chalet,1150000,6
Asturias,Chalet,184000,7
Asturias,Piso,118000,2
Asturias,Chalet,89000,2
Asturias,Piso,159000,3
Asturias,Piso,149000,3
Asturias,Piso,160000,3
Asturias,Piso,320000,3
Asturias,Chalet,290000,4
Asturias,Chalet,650000,5
Asturias,Casa Rural,350000,7
Asturias,Chalet,131500,3
Asturias,Piso,260000,6
Asturias,Chalet,479000,3
Asturias,Ático,338200,2
Asturias,Chalet,510000,7
Asturias,Chalet,375000,3
Asturias,Chalet,745000,10
Asturias,Chalet,649000,6
Asturias,Chalet,877000,6
Asturias,Piso,168900,3
Asturias,Chalet,389000,4
Asturias,Chalet,549000,6
Asturias,Piso,161000,2
Asturias,Piso,250000,2
Asturias,Piso,360000,4
Asturias,Piso,137000,2
Asturias,Chalet,156000,3
Asturias,Piso,210000,2
Asturias,Piso,490000,5
Asturias,Chalet,650000,4
Asturias,Piso,293000,2
Asturias,Chalet,146000,2
Asturias,Piso,350000,6
Asturias,Piso,113000,2
Asturias,Piso,129900,3
Asturias,Piso,217000,3
Asturias,Chalet,235000,5
Asturias,Piso,162000,3
Asturias,Piso,144500,3
Asturias,Chalet,156000,3
Asturias,Piso,156000,3
Asturias,Piso,186000,1
Asturias,Chalet,310000,3
Asturias,Chalet,145000,2
Asturias,Chalet,279000,5
Asturias,Casa Rural,310000,7
Asturias,Chalet,79900,4
Asturias,Chalet,375000,4
Asturias,Piso,215000,3
Asturias,Chalet,249000,4
Asturias,Chalet,398000,4
Asturias,Casa Rural,339000,3
Asturias,Piso,218000,2
Asturias,Piso,175000,3
Asturias,Piso,51000,3
Asturias,Chalet,75000,2
Asturias,Casa Rural,139900,3
Asturias,Chalet,385000,5
Asturias,Duplex,424500,4
Asturias,Piso,315000,2
Asturias,Chalet,198000,3
Asturias,Duplex,188000,3
Asturias,Piso,209000,3
Asturias,Chalet,483900,5
Asturias,Piso,169000,3
Asturias,Chalet,224000,4
Asturias,Piso,300000,3
Asturias,Piso,120000,2
Asturias,Chalet,375000,4
Asturias,Piso,115000,3
Asturias,Chalet,285000,4
Asturias,Piso,210000,3
Asturias,Piso,110000,3
Asturias,Chalet,374000,4
Asturias,Piso,240000,4
Asturias,Piso,95000,2
Asturias,Chalet,1100000,5
Asturias,Piso,249000,3
Asturias,Piso,175000,3
Asturias,Piso,62000,3
Asturias,Piso,312000,2
Asturias,Piso,119000,2
Asturias,Piso,275000,5
Asturias,Piso,136900,3
Asturias,Piso,95000,2
Asturias,Piso,95000,3
Asturias,Piso,140000,3
Asturias,Chalet,312000,4
Asturias,Piso,179000,3
Asturias,Piso,117000,3
Asturias,Casa Rural,199000,2
Asturias,Chalet,699000,5
Asturias,Chalet,420000,5
Asturias,Chalet,549000,4
Asturias,Casa Rural,215000,3
Asturias,Chalet,420000,4
Asturias,Piso,169000,3
Asturias,Piso,219900,4
Asturias,Piso,181000,2
Asturias,Ático,225000,2
Asturias,Piso,199000,2
Asturias,Chalet,298000,4
Asturias,Ático,66500,1
Asturias,Chalet,59900,2
Asturias,Piso,340000,6
Asturias,Chalet,550000,6
Asturias,Duplex,330000,3
Asturias,Piso,100000,2
Asturias,Piso,160000,3
Asturias,Piso,149000,2
Asturias,Chalet,299000,5
Asturias,Piso,260000,4
Asturias,Chalet,119000,3
Asturias,Piso,340000,3
Asturias,Chalet,538000,3
Asturias,Piso,165000,1
Asturias,Chalet,399000,4
Asturias,Chalet,995000,7
Asturias,Piso,150000,3
Asturias,Chalet,339000,6
Asturias,Piso,123000,1
Asturias,Piso,152000,3
Asturias,Chalet,474900,5
Asturias,Piso,149900,2
Asturias,Duplex,59000,2
Asturias,Duplex,220000,2
Asturias,Piso,119000,1
Asturias,Piso,110000,1
Asturias,Piso,135000,3
Asturias,Piso,227250,3
Asturias,Chalet,250000,5
Asturias,Chalet,199000,4
Asturias,Piso,95000,3
Asturias,Piso,224000,4
Asturias,Piso,165000,2
Asturias,Chalet,118000,3
Asturias,Chalet,459000,4
Asturias,Piso,125000,3
Asturias,Piso,159000,4
Asturias,Piso,69999,1
Asturias,Piso,230000,3
Asturias,Piso,369000,4
Asturias,Piso,125000,3
Asturias,Piso,155000,2
Asturias,Piso,115000,3
Asturias,Chalet,110000,3
Asturias,Chalet,160000,3
Asturias,Piso,139900,3
Asturias,Piso,119999,1
Asturias,Piso,119900,2
Asturias,Piso,219000,4
Asturias,Piso,129000,3
Asturias,Piso,124900,2
Asturias,Piso,110000,2
Asturias,Piso,141000,2
Asturias,Piso,263000,3
Asturias,Piso,388000,3
Asturias,Duplex,300000,3
Asturias,Ático,360000,3
Asturias,Chalet,345000,5
Asturias,Chalet,650000,8
Asturias,Duplex,218000,4
Asturias,Piso,343000,4
Asturias,Piso,129000,3
Asturias,Chalet,220000,3
Asturias,Chalet,324900,4
Asturias,Piso,85000,2
Asturias,Piso,269000,3
Asturias,Piso,145000,1
Asturias,Piso,189000,2
Asturias,Chalet,75000,4
Asturias,Chalet,990000,4
Asturias,Chalet,325000,3
Asturias,Piso,270000,3
Asturias,Chalet,650000,6
Asturias,Piso,172000,3
Asturias,Piso,160000,2
Asturias,Chalet,798800,3
Asturias,Chalet,149500,2
Asturias,Chalet,790000,4
Asturias,Piso,435000,4
Asturias,Piso,185000,3
Asturias,Piso,149000,1
Asturias,Piso,135000,3
Asturias,Chalet,365000,5
Asturias,Chalet,420000,3
Asturias,Piso,181500,2
Asturias,Chalet,170000,4
Asturias,Piso,351000,3
Asturias,Piso,263500,4
Asturias,Piso,212500,3
Asturias,Piso,149900,3
Asturias,Piso,325000,3
Asturias,Piso,138000,3
Asturias,Piso,298000,5
Asturias,Piso,50000,2
Asturias,Piso,343000,3
Asturias,Piso,317000,3
Asturias,Piso,200000,3
Asturias,Piso,398000,2
Asturias,Piso,73000,2
Asturias,Piso,189000,3
Asturias,Piso,305000,4
Asturias,Piso,189000,4
Asturias,Chalet,395000,9
Asturias,Chalet,315000,9
Asturias,Chalet,580000,7
Asturias,Piso,184900,3
Asturias,Piso,80000,3
Asturias,Piso,160000,3
Asturias,Piso,273000,3
Asturias,Piso,126000,2
Asturias,Piso,199000,5
Asturias,Piso,198000,3
Asturias,Ático,250000,2
Asturias,Chalet,780000,5
Asturias,Piso,165000,2
Asturias,Casa Rural,30900,3
Asturias,Casa Rural,798000,11
Asturias,Chalet,1700000,6
Asturias,Piso,315000,2
Asturias,Chalet,349900,4
Asturias,Piso,109000,3
Asturias,Piso,480000,5
Asturias,Piso,364900,3
Asturias,Chalet,318000,3
Asturias,Duplex,294990,4
Asturias,Piso,98000,3
Asturias,Piso,200000,3
Asturias,Piso,155900,2
Asturias,Chalet,670000,4
Asturias,Piso,330000,3
Asturias,Chalet,110000,2
Asturias,Chalet,520000,3
Asturias,Chalet,800000,5
Asturias,Piso,228000,3
Asturias,Piso,255000,3
Asturias,Piso,95000,3
Asturias,Piso,89000,2
Asturias,Piso,166000,2
Asturias,Chalet,380000,4
Asturias,Piso,170000,3
Asturias,Piso,156000,3
Asturias,Chalet,360000,4
Asturias,Chalet,246400,3
Asturias,Piso,125000,2
Asturias,Chalet,290000,4
Asturias,Chalet,95000,4
Asturias,Chalet,350000,5
Asturias,Piso,155000,1
Asturias,Piso,208000,2
Asturias,Chalet,170000,3
Asturias,Chalet,175000,5
Asturias,Piso,125000,2
Asturias,Piso,279999,4
Asturias,Piso,130000,3
Asturias,Chalet,330000,3
Asturias,Piso,85000,1
Asturias,Chalet,750000,5
Asturias,Chalet,345000,6
Asturias,Duplex,265000,4
Asturias,Chalet,397000,7
Asturias,Chalet,299900,2
Asturias,Chalet,283500,9
Asturias,Piso,275000,3
Asturias,Chalet,565000,5
Asturias,Chalet,560000,2
Asturias,Chalet,195000,2
Asturias,Piso,169000,3
Asturias,Chalet,1200000,4
Asturias,Piso,120000,3
Asturias,Piso,115000,1
Asturias,Piso,110000,3
Asturias,Chalet,800000,6
Asturias,Chalet,348000,4
Asturias,Chalet,1100000,7
Asturias,Chalet,265000,3
Asturias,Chalet,448000,3
Asturias,Piso,245000,3
Asturias,Piso,272000,3
Asturias,Piso,164500,3
Asturias,Piso,365000,3
Asturias,Piso,215000,3
Asturias,Chalet,540000,4
Asturias,Piso,250000,5
Asturias,Piso,79000,3
Asturias,Piso,164900,3
Asturias,Chalet,129000,5
Asturias,Casa Rural,750000,8
Asturias,Piso,339900,4
Asturias,Piso,380000,4
Asturias,Ático,198000,3
Asturias,Piso,209000,2
Asturias,Chalet,690000,3
Asturias,Chalet,375000,5
Asturias,Ático,270000,2
Asturias,Chalet,790000,5
Asturias,Chalet,1800000,11
Asturias,Piso,250000,2
Asturias,Chalet,810000,9
Asturias,Chalet,480000,4
Asturias,Chalet,360000,5
Asturias,Casa Rural,220000,6
Asturias,Piso,120000,3
Asturias,Piso,110000,4
Asturias,Chalet,625000,7
Asturias,Piso,90000,1
Asturias,Chalet,420000,4
Asturias,Chalet,325000,4
Asturias,Chalet,399000,6
Asturias,Piso,125000,3
Asturias,Piso,168000,3
Asturias,Piso,145000,3
Asturias,Piso,330000,5
Asturias,Piso,169000,2
Asturias,Piso,74900,2
Asturias,Piso,249000,2
Asturias,Chalet,399000,3
Asturias,Piso,132000,3
Asturias,Piso,344000,2
Asturias,Piso,85000,3
Asturias,Chalet,425000,6
Asturias,Piso,95000,3
Asturias,Piso,265000,3
Asturias,Piso,256000,3
Asturias,Chalet,220000,6
Asturias,Chalet,350000,4
Asturias,Piso,387000,3
Asturias,Chalet,239000,4
Asturias,Chalet,159000,3
Asturias,Piso,159000,3
Asturias,Piso,230000,3
Asturias,Piso,99900,2
Asturias,Chalet,349000,4
Asturias,Chalet,299000,3
Asturias,Piso,138000,2
Asturias,Piso,119000,1
Asturias,Chalet,950000,4
Asturias,Chalet,140000,2
Asturias,Piso,225000,4
Asturias,Casa Rural,59000,1
Asturias,Piso,220000,4
Asturias,Piso,119500,3
Asturias,Piso,112000,3
Asturias,Chalet,340000,4
Asturias,Piso,310000,5
Asturias,Piso,190975,3
Asturias,Piso,360000,4
Asturias,Piso,106500,1
Asturias,Piso,470000,7
Asturias,Piso,290000,2
Asturias,Chalet,890000,4
Asturias,Piso,169000,2
Asturias,Chalet,495000,3
Asturias,Piso,99500,3
Asturias,Piso,143000,3
Asturias,Piso,70000,3
Asturias,Chalet,650000,4
Asturias,Chalet,350000,7
Asturias,Piso,265000,3
Asturias,Piso,185000,3
Asturias,Chalet,829900,4
Asturias,Piso,375000,3
Asturias,Chalet,330000,5
Asturias,Piso,170000,3
Asturias,Chalet,220000,6
Asturias,Piso,137000,3
Asturias,Piso,86000,2
Asturias,Piso,78900,2
Asturias,Chalet,265000,3
Asturias,Casa Rural,500000,12
Asturias,Piso,150000,1
Asturias,Casa Rural,1800000,8
Asturias,Chalet,550000,9
Asturias,Chalet,310000,5
Asturias,Piso,120000,3
Asturias,Chalet,845000,3
Asturias,Chalet,380000,4
Asturias,Piso,65000,3
Asturias,Piso,125000,3
Asturias,Chalet,69000,3
Asturias,Piso,116630,3
Asturias,Piso,159000,3
Asturias,Chalet,240000,3
Asturias,Ático,360000,3
Asturias,Ático,153000,1
Asturias,Chalet,2100000,3
Asturias,Piso,165000,3
Asturias,Piso,99000,2
Asturias,Chalet,630000,4
Asturias,Piso,340000,5
Asturias,Ático,490000,2
Asturias,Chalet,125000,6
Asturias,Chalet,680000,5
Asturias,Piso,140000,4
Asturias,Casa Rural,155000,3
Asturias,Piso,163900,3
Asturias,Duplex,545000,5
Asturias,Piso,340000,3
Asturias,Piso,270000,6
Asturias,Piso,170000,2
Asturias,Piso,165000,3
Asturias,Piso,120000,3
Asturias,Piso,290000,3
Asturias,Casa Rural,130000,3
Asturias,Piso,350000,2
Asturias,Piso,195000,2
Asturias,Piso,275000,2
Asturias,Piso,199000,3
Asturias,Chalet,99900,12
Asturias,Chalet,39900,4
Asturias,Chalet,69900,4
Asturias,Chalet,249900,3
Asturias,Chalet,450000,4
Asturias,Piso,54000,2
Asturias,Piso,139000,3
Asturias,Chalet,795000,4
Asturias,Piso,97000,3
Asturias,Chalet,98000,14
Asturias,Piso,99900,2
Asturias,Chalet,175000,3
Asturias,Chalet,46000,6
Asturias,Chalet,790000,6
Asturias,Casa Rural,128000,3
Asturias,Chalet,749000,5
Asturias,Casa Rural,113000,3
Asturias,Chalet,855000,3
Asturias,Chalet,830000,5
Asturias,Piso,138000,3
Asturias,Chalet,228000,3
Asturias,Chalet,360000,3
Asturias,Piso,139000,2
Asturias,Chalet,599000,3
Asturias,Chalet,295000,3
Asturias,Chalet,435000,7
Asturias,Piso,168900,3
Asturias,Piso,69800,1
Asturias,Duplex,99000,5
Asturias,Piso,115000,2
Asturias,Piso,149900,3
Asturias,Chalet,980000,5
Asturias,Piso,95000,3
Asturias,Piso,89000,3
Asturias,Piso,130000,3
Asturias,Piso,155000,2
Asturias,Piso,162000,2
Asturias,Piso,187000,2
Asturias,Piso,140000,4
Asturias,Piso,134900,3
Asturias,Piso,134000,3
Asturias,Chalet,179000,4
Asturias,Piso,65000,2
Asturias,Piso,125000,2
Asturias,Duplex,198000,4
Asturias,Casa Rural,27000,0
Asturias,Piso,105000,2
Asturias,Piso,149500,2
Asturias,Chalet,318000,5
Asturias,Piso,194900,2
Asturias,Piso,109000,2
Asturias,Piso,419000,5
Asturias,Piso,390000,4
Asturias,Piso,87000,1
Asturias,Piso,110000,2
Asturias,Chalet,42000,4
Asturias,Piso,129900,3
Asturias,Duplex,175000,3
Asturias,Chalet,115000,4
Asturias,Piso,70000,3
Asturias,Piso,149000,2
Asturias,Piso,244000,2
Asturias,Piso,35500,2
Asturias,Piso,170000,3
Asturias,Piso,95000,3
Asturias,Duplex,188000,4
Asturias,Ático,150000,1
Asturias,Piso,165000,2
Asturias,Piso,134000,2
Asturias,Chalet,105000,4
Asturias,Chalet,79000,3
Asturias,Piso,230000,3
Asturias,Piso,126000,3
Asturias,Chalet,375000,4
Asturias,Chalet,95900,5
Asturias,Chalet,17000,2
Asturias,Piso,330000,4
Asturias,Chalet,415000,4
Asturias,Piso,450000,5
Asturias,Piso,65000,5
Asturias,Chalet,135000,2
Asturias,Chalet,165000,5
Asturias,Chalet,419000,4
Asturias,Piso,135000,3
Asturias,Chalet,245000,3
Asturias,Piso,315000,3
Asturias,Piso,408000,3
Asturias,Piso,72000,2
Asturias,Chalet,135000,10
Asturias,Chalet,249000,3
Asturias,Piso,129900,3
Asturias,Chalet,355000,7
Asturias,Piso,49000,3
Asturias,Chalet,250000,4
Asturias,Piso,149900,2
Asturias,Chalet,26000,2
Asturias,Piso,157000,2
Asturias,Chalet,350000,3
Asturias,Piso,125000,2
Asturias,Piso,135000,3
Asturias,Chalet,370000,4
Asturias,Piso,210000,2
Asturias,Piso,93000,3
Asturias,Piso,95000,1
Asturias,Piso,140000,1
Asturias,Piso,275000,2
Asturias,Piso,110000,2
Asturias,Piso,287000,4
Asturias,Piso,149900,2
Asturias,Piso,170000,2
Asturias,Piso,219000,1
Asturias,Piso,215000,3
Asturias,Chalet,160000,2
Asturias,Piso,177000,2
Asturias,Chalet,450000,4
Asturias,Piso,190000,4
Asturias,Chalet,380000,4
Asturias,Chalet,250000,4
Asturias,Piso,159000,3
Asturias,Piso,249000,4
Asturias,Piso,185000,4
Asturias,Piso,260000,5
Asturias,Piso,199000,2
Asturias,Piso,139500,4
Asturias,Chalet,1250000,9
Asturias,Chalet,330000,3
Asturias,Piso,114000,3
Asturias,Chalet,265000,3
Asturias,Piso,159000,3
Asturias,Piso,152000,2
Asturias,Piso,180000,4
Asturias,Piso,136900,3
Asturias,Chalet,390000,4
Asturias,Chalet,295000,4
Asturias,Piso,136000,2
Asturias,Piso,195000,3
Asturias,Piso,205000,3
Asturias,Piso,215000,2
Asturias,Piso,87000,3
Asturias,Chalet,570000,8
Asturias,Piso,349000,4
Asturias,Piso,195000,3
Asturias,Piso,115000,2
Asturias,Chalet,295000,4
